Question,Answer,clean_question
will this work on a GoPro 2. It looks like it would?,Personally - I don't know what the connectors are like for the 2. If they are similar than it should.,will this work on a gopro 2 it looks like it would
Does it automatically rotate pictures to correct orientation?,"It will display the photo however the original is stored (so if you viewed it on your computer as upside down and did not fix it before loading it, it would show upside down). However, there is an option on the remote that says ""rotate,"" so if you run across a photo that is not oriented properly, you can use the remote to fix it.",does it automatically rotate pictures to correct orientation
will this motor replace my broken Sta- rite P6RA6F-206L Max E Pro 1.5hp motor?,"I used as a replacement for a hayward superpump. Sta-rite does look like the same flange, but you need to make sure the impeller screws onto the shaft. Bearings on mine are making lots of noise after 5 months of use. In my opinion you may want to look for a name brand or stay with the name of the pump manufacturer.",will this motor replace my broken sta rite p6ra6f206l max e pro 15hp motor
Can I easily switch from video to picture with the case on and in water?,"electromagnetic won't work under water, thus touch input won't work either. you can switch to recording mode above water first and submerge, and start recording by pressing the volume button.",can i easily switch from video to picture with the case on and in water
"I don't have small children any more, but the big ones make just as much of a mess! I've had my 2013 GMC Terrain for 3 months and I notice when they eat in the car, the crumbs get in the crevices of the leather seats. So, I'm looking for something to cover the seats. Does the protector mat stay in place? Does it have like some kind of magntic backing to hold it in place?? Like if someone is getting in and out of the front or back seat, does the protector fold and fall when they get out of the seat? I don't have small children any more, but the big ones make just as much of a mess! I've had my 2013 GMC Terrain for 3 months and I notice when they eat in the car, the crumbs get in the... » Read More I don't have small children any more, but the big ones make just as much of a mess! I've had my 2013 GMC Terrain for 3 months and I notice when they eat in the car, the crumbs get in the crevices of the leather seats. So, I'm looking for something to cover the seats. Does the protector mat stay in place? Does it have like some kind of magntic backing to hold it in place?? Like if someone is getting in and out of the front or back seat, does the protector fold and fall when they get out of the seat? « Show Less","This model would fall and shift, there is nothing to hold it in place except the child's carseat. Good luck finding something that works for you!",i dont have small children any more but the big ones make just as much of a mess ive had my 2013 gmc terrain for 3 months and i notice when they eat in the car the crumbs get in the crevices of the leather seats so im looking for something to cover the seats does the protector mat stay in place does it have like some kind of magntic backing to hold it in place like if someone is getting in and out of the front or back seat does the protector fold and fall when they get out of the seat i dont have small children any more but the big ones make just as much of a mess ive had my 2013 gmc terrain for 3 months and i notice when they eat in the car the crumbs get in the read more i dont have small children any more but the big ones make just as much of a mess ive had my 2013 gmc terrain for 3 months and i notice when they eat in the car the crumbs get in the crevices of the leather seats so im looking for something to cover the seats does the protector mat stay in place does it have like some kind of magntic backing to hold it in place like if someone is getting in and out of the front or back seat does the protector fold and fall when they get out of the seat show less
Is it big enough to fit an iphone 5 with a lifeproof case?,"I used this case for my galaxy s4 and it fit with a lot of extra room. I didn't even have to remove my phone case to use it. Also, it did a good job to protect my phone from water and sand at the beach. The pictures I took came out really good too.",is it big enough to fit an iphone 5 with a lifeproof case
will this work for macbook pro late 2011?,Yes! To be on the safe side you can always contact Crucial directly and they will tell you if it is a definite match. Sometimes they even match Amazon pricing.,will this work for macbook pro late 2011
Would this work well to chop tomatoes for salsa? (Not so they're turned into sauce or pureed).,"I would say yes if you're using meaty tomatoes like romas and pulse slowly rather than just turn it on. The blade is so sharp that it wouldn't take much to turn it into tomato juice if you just ran it. Like every other food processer, it will leak around the shaft if there is too much liquid in the bowl (voice of experience!). I have done this for other things (omelets for one) and it works very well... onions and peppers in first chopped to a little bigger than I really want it, then the romas, pulsed one or 2 times and then it's ready to go. I think this is one of the best food processers out there and the price makes it doubly good! I would say yes if you're using meaty tomatoes like romas and pulse slowly rather than just turn it on. The blade is so sharp that it wouldn't take much to turn it into tomato juice if you just ran it. Like every other food processer, it will leak around the shaft if there is too much liquid in the bowl (voice of experience!). I have done this for other things (omelets for one) and it works very well... onions and peppers in first chopped to a little bigger than I really want it, then the romas, pulsed one or 2 times and then it's ready to go. I think this is one of the best food processers... » Read More I would say yes if you're using meaty tomatoes like romas and pulse slowly rather than just turn it on. The blade is so sharp that it wouldn't take much to turn it into tomato juice if you just ran it. Like every other food processer, it will leak around the shaft if there is too much liquid in the bowl (voice of experience!). I have done this for other things (omelets for one) and it works very well... onions and peppers in first chopped to a little bigger than I really want it, then the romas, pulsed one or 2 times and then it's ready to go. I think this is one of the best food processers out there and the price makes it doubly good! « Show Less",would this work well to chop tomatoes for salsa not so theyre turned into sauce or pureed
"Does this product have an added fragrance? I used a Cascade cleaner tablet and it was horrible, like regular Cascade times 100.","Not that I remember, this is a one time cleaner but I do not think there was a fragrance.",does this product have an added fragrance i used a cascade cleaner tablet and it was horrible like regular cascade times 100
I am planning to run 12 led rgb light strips on 3 different zones on an outdoor kitchen/patio. how are the lights controlled?,If you mean by turning the lights on and off. You will have to unplug it from the wall.,i am planning to run 12 led rgb light strips on 3 different zones on an outdoor kitchenpatio how are the lights controlled
Is there an arbor to fit a 9mm? I have a new carbine Id like to zero in @ 100 yards.,"There is an arbor to fit a 9mm. Icould not get the laser to stay on and sometimes if it did , I could not get it to go off. If you did zero it , you would have to compensate for bullet drop. After being zeroed I turned it in the muzzle and it was off target. I would not waste my money on this item. Tell him if he wants it, I will send it to him as I am going to spend the money and purchase a good one.",is there an arbor to fit a 9mm i have a new carbine id like to zero in 100 yards
can i use this auto feeder for 1month?,I use mine for longer than that ! Long haul truck driver sometimes I cannot make it home on a regular time.,can i use this auto feeder for 1month
"If you plug your phone/ipod/etc to a charger, does using this create a ground loop and buzz/hum?",Don't know that I've had that problem but i got a ground loop isolator as well. They're pretty cheap,if you plug your phoneipodetc to a charger does using this create a ground loop and buzzhum
"Since there is two 10' lines (1+ &amp; 1-) going from the solar panels to the 12v controller, does that mean the controller is mounted on the roof too?","The charge controller is not waterproof so it should be interior. If you need longer cable between panel and charge controller, please place an order and call our office for the option of upgrade. Make sure mention your order ID so we can easily pull out your information.",since there is two 10 lines 1 amp 1 going from the solar panels to the 12v controller does that mean the controller is mounted on the roof too
What is the height and diameter of these bowls?,outside dimensions are 5 3/8 wide at the top and 3 1/8 tall...larger in actuality than I expected...very sparkly and bright,what is the height and diameter of these bowls
Does this assembly include the lock?,"If you are referring to the lock as the latch, yes its included. You can see the latch in the far right of the picture. It doesn't include what the latch connects to that sits in the bottom of the trunk. Hope that helps...",does this assembly include the lock
Will these fit my 2003 Silverado,They fit our 2002 silverado we weren't sure and there was a place to put in your vehicle info and it tells you if the lights will fit or not.,will these fit my 2003 silverado
Are these dishwasher safe?,From my limited understanding of Japanese + googling I believe it says that they are dishwasher safe on the box (lower left corner of the box in the blue drop of water).,are these dishwasher safe
What apps are included? office excel windows?,"This is an Android tablet so it does not run Microsoft Windows nor Office applications; however it does come with the free versions of the ""Documents To Go"" app for viewing such documents. In order to edit those documents you will need to buy the full version of this app for about $15. If editing and creating Microsoft documents is a primary reason you are thinking of purchasing a tablet, I would recommend checking out the Asus Transformer Book T100 with comes with Windows 8.1 and Office 2013. The Windows tablets are still way short on apps compared to Android tablets, but they are starting to make strides in that area.",what apps are included office excel windows
"Are these a soft chew, or harder?",They are soft chews. Not sticky thou. They do not stick to your teeth. You can even leave it on your tongue and it will melt.,are these a soft chew or harder
What is the longest length of track this unit will successfully power. I have a large layout and don't just want a small oval.,My oval (before I deconstructed it to move) was 10 ft length and 4 ft wide and it had no power problems whatsoever. Hope this helps,what is the longest length of track this unit will successfully power i have a large layout and dont just want a small oval
"I have 4 parakeets, can they fit in this cage?",They probably won't be happy in a cage this size. I think the larger vision cage would be a better choice for that many birds,i have 4 parakeets can they fit in this cage
Does anyone know if this would work with a Microsoft windows media center edition wireless keyboard (older model I think 2005) ? Thanks,"My understanding is that it will work with any unit that comes with that same USB receiver, but not anything that does not. It has to have that unifying receiver symbol... The reason I bought an extra is because I accidentally left mine in a company laptop I had to send back.",does anyone know if this would work with a microsoft windows media center edition wireless keyboard older model i think 2005 thanks
what is the difference between Samsung Galaxy Note 10.1 and Samsung Galaxy Tab 10.1? Which one is more capable for designing and drawing?,I think the Galaxy Note 10.1 is probably better known for designing and drawing with its note format and S pen stylus. The Note has a more powerful CPU with a 1.4 Ghz Quad-Core Processor compared to a 1.0 Ghz Dual Processor. It has better cameras (more megapixels). You can also purchase the Note with more internal memory than 16 GB if you want to pay extra. A notable difference is in the price: $299 versus $449 right now on Amazon. You might also want to go to Samsung.com and compare the two models next to each other.,what is the difference between samsung galaxy note 101 and samsung galaxy tab 101 which one is more capable for designing and drawing
How does this work with Netflix (you need controller and PS button to close),"I have used this adaptor with Logitech Harmony One and 650, and can operate all Netflix commands and operations without the need for a PS controller",how does this work with netflix you need controller and ps button to close
Can the top and bottom tiers be used separately?,"The top and bottom tiers could possibly be used separately but there are no plastic caps for the legs of the top tier, and the top tier connects to the bottom by small posts protruding from the top of the bottom shelf, so those posts would still be sticking up. The shelves are small and flimsy. I painted mine to make it look better, and am thinking about gluing the top to the bottom shelf because they come apart too easily.",can the top and bottom tiers be used separately
My husband is 6'1 and weight 190 what size should i order?,"I'm 6ft. 1in. weigh 202 lbs I got the large size in all colors they fit me great, Jim",my husband is 61 and weight 190 what size should i order
"I've lost some weight, would anyone recommend using this on an expensive belt such as Hermès or Louis Vuitton?","I'm not sure about and expensive belt like that, but it does leave a clean hole in other belts. I think it should be fine to use as long as to have steady hands when you use it.",ive lost some weight would anyone recommend using this on an expensive belt such as herms or louis vuitton
Can they be used drectly on the ground?,"The ground has to be smooth concrete or tile, I do not think it works directly on dirt ground.",can they be used drectly on the ground
That its for a all door of civic 99??,Yes. It is for both the front and rear door of a 1999 Honda Civic on the passengers side of the car. I replaced both. Tight fit for large hands and I had to remove/loosen the handle on the rear door to get it in. Check out YouTube for helpful videos. Mine both work fine.,that its for a all door of civic 99
I have worked out with Lauren Brooks DVDS and have a 15lb and 20lb kettlebell. Which one would be best for starting this workout?,Im not familiar with Lauren Brooks' workouts but if you are already accustomed to a 15 lb kettlebell you may be able to start this workout with 15lb. I bought a 5-20lb adjustable kettlebell; started at 8lbs and worked my way up to 15lbs.,i have worked out with lauren brooks dvds and have a 15lb and 20lb kettlebell which one would be best for starting this workout
"Is there any problem having these shipped? And, do they work on an Iwatani burner?",No idea if they work on that burner. (Not familiar with that brand) but no problems at all with shipping.,is there any problem having these shipped and do they work on an iwatani burner
Would you verify that the actual measurements are 15.5 x 24.5 x 3.75 ?,Yes Julia. Those are the measurements to the O.D. of the filter. I've bought a case worth of these for my home.,would you verify that the actual measurements are 155 x 245 x 375
Are these good for outdoor use?,"I personally have not used these for outdoor use; and dont plan to.The varnish and the wood are fit for indoor use only. If you use these outdoors, you woul have to bring them in immediately after use",are these good for outdoor use
"Does it overheats like the smaller acer?. I have a small one and have to use an external fan cooler,because it gets very warm.","nope, this little guy run very very cool. I've never even felt mine start to get warm. I'm impressed as I've never seen a netbook that's been able to stay that cool with a decent graphics card like this one has.",does it overheats like the smaller acer i have a small one and have to use an external fan coolerbecause it gets very warm
How well would this handle dried blackberry vines?,"I've run trumpet vines, honeysuckle and clematis through this little champ.... no issues. I would be comfortable putting everything up to a broom handle through it.",how well would this handle dried blackberry vines
Is this made in the United States?,"on the bottle it says Birmingham, AL.....go to www.proemu.com for more info",is this made in the united states
Is this product compatible on Mac OS? Descriptions are not accurate. Sometimes,"In the description of the microscome they mention it is. as follow:""AGPtek® USB 800X Digital Microscope endoscope 2MP 8 LED Compatible with Windows and Mac OS 10.5 or above For Micro-measure Work""",is this product compatible on mac os descriptions are not accurate sometimes
Are these socks waterproof?,"Neoprene is technically waterproof, but generally the socks are used for insulation purposes. I wore these inside canyon shoes to hike up the river cut canyons of Zion national park in Utah. (Amazing experience!!) I was walking directly in the river in early November and water temperature was quite cold - if I recall it was in the 50's fahrenheit. The shoes are designed to let water in and out so my feed did get wet. But they remained warm and I had no issues with the cold. I hope that helps..",are these socks waterproof
"Could this work on a 1974 CB550K? I understand it wouldn't be plug and play, but could it work?",Should work only hooks to your battery everything you need comes with it should be fine,could this work on a 1974 cb550k i understand it wouldnt be plug and play but could it work
How well does it work with studio strobes / Alien Bees? Is it deep enough from front to back use a studio strobe like Alien Bee or bigger?,An alien bee just might fit snug inside but anything bigger wont fit. Looks like its mostly just made for speedlights.,how well does it work with studio strobes alien bees is it deep enough from front to back use a studio strobe like alien bee or bigger
Dose it come with mix,.No it does not. Just fyi I bought it but ended up selling it the motor on the one I bought was loud not sure if something was loose when it got delievered or what but motor was loud and took awhile even to warm up,dose it come with mix
